lilv 0.26.2-1
linux-api-headers 6.17-1
linux-firmware 20251125-2
linux-firmware-amdgpu 20251125-2
linux-firmware-atheros 20251125-2
linux-firmware-broadcom 20251125-2
linux-firmware-cirrus 20251125-2
linux-firmware-intel 20251125-2
linux-firmware-mediatek 20251125-2
linux-firmware-nvidia 20251125-2
linux-firmware-other 20251125-2
linux-firmware-radeon 20251125-2
linux-firmware-realtek 20251125-2
linux-firmware-whence 20251125-2
linux-lts 6.12.63-1
llhttp 9.2.1-2
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.10.2-1
localsend 1.17.0-2
logseq-desktop 0.10.15-2
loupe 49.2-1
lsd 1.2.0-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1765228720+7152e15-1
lv2 1.18.10-2
lxmenu-data 0.1.7-1
lxsession 1:0.5.6-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
maim 5.8.1-3
make 4.4.1-2
man-db 2.13.1-1
matugen-bin 3.1.0-1
matugen-bin-debug 3.1.0-1
mbedtls 3.6.5-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
menu-cache 1.1.1-2
mermaid-cli 11.12.0-1
mesa 1:25.3.3-1
meson 1.10.0-1
mewline 1.3.1-1
miniz 3.1.0-1
minizip 1:1.3.1-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mlt 7.36.1-1
mobile-broadband-provider-info 20251101-1
mpc 0.35-1
mpd 0.24.6-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-2
mpv-mpris 1.1-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.8-1
muparser 2.3.5-1
mypaint-brushes1 1.3.1-2
nano 8.7-1
ncurses 6.5-4
neovim 0.11.5-1
netpbm 10.86.48-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
nftables 1:1.1.6-1
ninja 1.13.2-1
nitch 0.1.6-3
nitch-debug 0.1.6-3
nm-connection-editor 1.36.0-1
node-gyp 12.1.0-1
nodejs 25.2.1-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2026.01.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.01.01-1
npm 11.7.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119.1-1
ntp 4.2.8.p18-6
numactl 2.0.19-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
ocl-icd 2.3.4-1
onetbb 2022.3.0-2
oniguruma 6.9.10-1
openal 1.25.0-1
opencore-amr 0.1.6-2
opencv 4.12.0-17
openexr 3.4.4-1
openh264 2.6.0-1
openjpeg2 2.5.4-1
openmpi 5.0.9-2
openpmix 5.0.9-1
openssh 10.2p1-2
openssl 3.6.0-1
opentimelineio 0.18.1-1
openucx 1.19.1-1
opus 1.6-1
opusfile 0.12-4
orc 0.4.41-1
osinfo-db 20251212-1
ostree 2025.7-1
otf-font-awesome 7.1.0-1
otf-space-grotesk 2-2
p11-kit 0.25.10-2
pacman 7.1.0.r7.gb9f7d4a-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papirus-folders 1.14.0-1
papirus-icon-theme 20250501-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pavucontrol-qt 2.3.0-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
peaclock-debug 0.4.3-2
perl 5.42.0-1
perl-clone 0.47-2
perl-curses 1.45-3
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.81-2
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-term-animation 2.6-14
perl-timedate 2.33-9
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
perl-xml-parser 2.47-3
physfs 3.2.0-5
picom 12.5-3
pinentry 1.3.2-2
pipewire 1:1.4.9-2
